nama_varietas,komoditas,jenis_tanaman,pemohon,pemohon_kanonik,asal,tahun,jenis_perizinan,no_sk,tgl_sk
DP Yangambi,Tanaman Perkebunan,Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Dalam Negeri,1985,Pelepasan Varietas Tanaman,317/Kpts/TP.240/4/1985,
DP Avros,Tanaman Perkebunan,Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Dalam Negeri,1985,Pelepasan Varietas Tanaman,315/Kpts/TP.240/4/1985,
Rapiah,Tanaman Buah,Rambutan,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1985,Pelepasan Varietas Tanaman, 156/Kpts/TP.240/3/1985,
Lebak Bulus,Tanaman Buah,Rambutan,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1985,Pelepasan Varietas Tanaman,157/Kpts/TP.240/3/1985,
Binjai,Tanaman Buah,Rambutan,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1985,Pelepasan Varietas Tanaman, 151/Kpts/TP.240/3/1985,
KT - 1,Tanaman Sayuran,Kacang Tunggak,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1985,Pelepasan Varietas Tanaman, 153/Kpts/TP.240/3/1985,
KP 2,Tanaman Sayuran,Kacang Panjang,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1985,Pelepasan Varietas Tanaman, 155/Kpts/TP.240/3/1985,
KP 1,Tanaman Sayuran,Kacang Panjang,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1985,Pelepasan Varietas Tanaman, 154/Kpts/TP.240/3/1985,
Probolinggo Biru 81,Tanaman Buah,Anggur,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1985,Pelepasan Varietas Tanaman, 856/Kpts/TP.240/12/1985,
Bali,Tanaman Buah,Anggur,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1985,Pelepasan Varietas Tanaman, 857/Kpts/TP.240/12/1985,
Dempo,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Introduksi,1984,Pelepasan Varietas Tanaman,,
Arias,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1984,Pelepasan Varietas Tanaman, ,
Ranau,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1984,Pelepasan Varietas Tanaman, ,
Kapuas,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1984,Pelepasan Varietas Tanaman, ,
Cikapundung,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1984,Pelepasan Varietas Tanaman, ,
BATANg Ombilin,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1984,Pelepasan Varietas Tanaman, ,
Kelapa Hibrida IND. 1 (KHINA 1),Tanaman Perkebunan,Kelapa,Pemerintah Provinsi Sulawesi utara ,Pemerintah Provinsi Sulawesi Utara,Dalam Negeri,1984,Pelepasan Varietas Tanaman,588/Kpts/TP.240/8/1984,
Kelapa Hibrida IND. 2 (KHINA 2),Tanaman Perkebunan,Kelapa,Pemerintah Pulau Bali ,Pemerintah Pulau Bali ,Dalam Negeri,1984,Pelepasan Varietas Tanaman,587/Kpts/TP.240/8/1984,
Kelapa Hibrida IND. 3 (KHINA 3),Tanaman Perkebunan,Kelapa,Pemerintah Provinsi Sulawesi tengah ,Pemerintah Provinsi Sulawesi Tengah,Dalam Negeri,1984,Pelepasan Varietas Tanaman,586/Kpts/TP.240/8/1984,
D x P SP 540 (DP),Tanaman Perkebunan,Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Dalam Negeri,1984,Pelepasan Varietas Tanaman,585/Kpts/TP.240/8/1984,
Sungai Pancur 2,Tanaman Perkebunan,Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Dalam Negeri,1984,Pelepasan Varietas Tanaman,585/Kpts/TP.240/8/1984,
Sungai Pancur I,Tanaman Perkebunan,Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Dalam Negeri,1984,Pelepasan Varietas Tanaman,584/Kpts/TP.240/8/1984,
Berlian,Tanaman Sayuran,Tomat,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1984,Pelepasan Varietas Tanaman,442/Kpts/TP.240/7/1984,
Talaud,Tanaman Sayuran,Sawi Putih / Petsai,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1984,Pelepasan Varietas Tanaman, 440/Kpts/TP.240/7/1984,
Sangihe,Tanaman Sayuran,Sawi Putih / Petsai,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1984,Pelepasan Varietas Tanaman, 441/Kpts/TP.240/7/1984,
Tajum,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1985,Pelepasan Varietas Tanaman, ,
BATANg Pane,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1985,Pelepasan Varietas Tanaman, ,
Tuntang,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1985,Pelepasan Varietas Tanaman, ,
Kalingga,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Lokal,1985,Pelepasan Varietas Tanaman, ,
Wiyasa,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Lokal,1985,Pelepasan Varietas Tanaman, ,
Hibrida C-1,Tanaman Pangan,Jagung Hibrida,PT Monagro K.,PT Monagro K.,Introduksi,1985,Pelepasan Varietas Tanaman, ,
Hibrida P-1,Tanaman Pangan,Jagung Hibrida,PT Pioneer,PT Pioneer,Introduksi,1985,Pelepasan Varietas Tanaman, ,
Hibrida CPI-1,Tanaman Pangan,Jagung Hibrida,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Introduksi,1985,Pelepasan Varietas Tanaman, ,
Hibrida IPB-4,Tanaman Pangan,Jagung Hibrida,IPB,IPB,Lokal,1985,Pelepasan Varietas Tanaman, ,
Walet,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1985,Pelepasan Varietas Tanaman,,
Gelatik,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1985,Pelepasan Varietas Tanaman,,
Wilis,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1985,Pelepasan Varietas Tanaman,,
Kerinci,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1985,Pelepasan Varietas Tanaman,,
IR-65,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1986,Pelepasan Varietas Tanaman, ,
IR-48,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1986,Pelepasan Varietas Tanaman, ,
IR-64,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1986,Pelepasan Varietas Tanaman, ,
Nagara,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1986,Pelepasan Varietas Tanaman, ,
Alabio,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1986,Pelepasan Varietas Tanaman, ,
Tapus,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1986,Pelepasan Varietas Tanaman, ,
Cisanggarung,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1985,Pelepasan Varietas Tanaman, ,
Bahbutong,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1985,Pelepasan Varietas Tanaman, ,
Maninjau,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1985,Pelepasan Varietas Tanaman, ,
Cimanuk,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1985,Pelepasan Varietas Tanaman, ,
Progo,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1985,Pelepasan Varietas Tanaman, ,
Cisokan,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1985,Pelepasan Varietas Tanaman, ,
PS 59,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji","Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji",Dalam Negeri,1985,Pelepasan Varietas Tanaman,556/Kpts/TP.240/8/1985,
PS 58,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji","Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji",Dalam Negeri,1985,Pelepasan Varietas Tanaman,555/Kpts/TP.240/8/1985,
PS 57,Tanaman Perkebunan,Tebu,"Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji","Soejoto Sastrowijoyo, Gunawan Sukarso, Mirzawan P.D.N, Soeprajitno Lamadji",Dalam Negeri,1985,Pelepasan Varietas Tanaman,554/Kpts/TP.240/8/1985,
DP Dolok Sinumbah,Tanaman Perkebunan,Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Dalam Negeri,1985,Pelepasan Varietas Tanaman,312/Kpts/TP.240/4/1985,
Hibrida P-2,Tanaman Pangan,Jagung Hibrida,PT Pioneer,PT Pioneer,Introduksi,1986,Pelepasan Varietas Tanaman, ,
Merbabu,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1986,Pelepasan Varietas Tanaman,,
DP Bah Jambi,Tanaman Perkebunan,Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Dalam Negeri,1985,Pelepasan Varietas Tanaman,313/Kpts/TP.240/4/1985,
DP Marihat,Tanaman Perkebunan,Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Pusat Penelitian Kelapa Sawit,Dalam Negeri,1985,Pelepasan Varietas Tanaman,314/Kpts/TP.240/4/1985,
Raung,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1986,Pelepasan Varietas Tanaman,,
Badik,Tanaman Pangan,Sorgum,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Introduksi,1986,Pelepasan Varietas Tanaman, ,
Merak,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1981,Pelepasan Varietas Tanaman,,
Manyar,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1983,Pelepasan Varietas Tanaman,,
Nuri,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1983,Pelepasan Varietas Tanaman,,
Tapir,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1983,Pelepasan Varietas Tanaman,,
Keris,Tanaman Pangan,Sorgum,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Introduksi,1983,Pelepasan Varietas Tanaman, ,
Manalagi,Tanaman Buah,Apel,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1984,Pelepasan Varietas Tanaman,899/Kpts/TP.240/11/1984,
Rome Beauty,Tanaman Buah,Apel,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1984,Pelepasan Varietas Tanaman, 893/Kpts/TP.240/11/1984,
Bima Brebes,Tanaman Sayuran,Bawang Merah,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 594/Kpts/TP.240/8/1984,
Keling,Tanaman Sayuran,Bawang Merah,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman,596/Kpts/TP.240/8/1984,
Maja Cipanas,Tanaman Sayuran,Bawang Merah,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 597/Kpts/TP.240/8/1984,
Medan,Tanaman Sayuran,Bawang Merah,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 595/Kpts/TP.240/8/1984,
Lumbu Hijau,Tanaman Sayuran,Bawang Putih,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman,894/Kpts/TP.240/11/1984,
Lumbu Kuning,Tanaman Sayuran,Bawang Putih,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 895/Kpts/TP.240/11/1984,
Giti Hijau,Tanaman Sayuran,Bayam,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1984,Pelepasan Varietas Tanaman, 437/Kpts/TP.240/7/1984,
Giti Merah,Tanaman Sayuran,Bayam,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1984,Pelepasan Varietas Tanaman, 337/Kpts/TP.240/7/1984,
Mas,Tanaman Buah,Durian,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman,898/Kpts/TP.240/11/1984,
Petruk,Tanaman Buah,Durian,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 896/Kpts/TP.240/11/1984,
Sitokong,Tanaman Buah,Durian,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 897/Kpts/TP.240/11/1984,
Sukun,Tanaman Buah,Durian,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 889/Kpts/TP.240/11/1984,
Sunan,Tanaman Buah,Durian,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 888/Kpts/TP.240/11/1984,
Sutera,Tanaman Sayuran,Kangkung,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1984,Pelepasan Varietas Tanaman, 436/Kpts/TP.240/7/1984,
Arumanis 143,Tanaman Buah,Mangga,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman,892/Kpts/TP.240/11/1984,
Golek 31,Tanaman Buah,Mangga,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 890/Kpts/TP.240/11/1984,
Manalagi 69,Tanaman Buah,Mangga,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Dalam Negeri,1984,Pelepasan Varietas Tanaman, 891/Kpts/TP.240/11/1984,
Granat Cipanas,Tanaman Sayuran,Sawi Putih / Petsai,n/a (Era pelepasan - pengusul),n/a (Era pelepasan - pengusul),Introduksi,1984,Pelepasan Varietas Tanaman, 439/Kpts/TP.240/7/1984,
Abimanyu,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Lokal,1983,Pelepasan Varietas Tanaman,TP.240/373/Kpts/Um/6/1983 04 Juni 1983,
Mahakam,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman,TP.240/366/Kpts/Um/6/1983 04 Juni 1983,
Singkarak,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman, ,
Sentani,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman,276/Kpts/Um/4/1983 30429,
Tondano,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman,TP.240/375/Kpts/Um/6/1983 04 Juni 1983,
IR-46,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman, ,
Bogowonto,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman, ,
Porong,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman, ,
Citanduy,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman, ,
Kelara,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman, ,
Bahbolon,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman,TP.240/371/Kpts/Um/6/1983 30429,
Atomita-2,Tanaman Pangan,Padi Inbrida,BATAN,BATAN,,1983,Pelepasan Varietas Tanaman,Tp.240/369/Kpts/Um/6/1983 30429,
Sadang,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman,273/Kpts/Um/4/1983 30429,
PB-56,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1983,Pelepasan Varietas Tanaman,272/Kpts/Um/4/1983 30429,
Guntur,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1982,Pelepasan Varietas Tanaman,,
Lokon,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1982,Pelepasan Varietas Tanaman,,
Atomita-1,Tanaman Pangan,Padi Inbrida,BATAN,BATAN,,1982,Pelepasan Varietas Tanaman,879/Kpts/Um/12/1982 02 Desember 1982,
Prambanan,Tanaman Pangan,Ubi Jalar,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1981,Pelepasan Varietas Tanaman, ,
Borobudur,Tanaman Pangan,Ubi Jalar,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1981,Pelepasan Varietas Tanaman, ,
Galunggung,Tanaman Pangan,Kedelai,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1981,Pelepasan Varietas Tanaman,,
Parikesit,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Lokal,1981,Pelepasan Varietas Tanaman,496/Kpts/Um/6/1981 11 Juni 1981,
Barito,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1981,Pelepasan Varietas Tanaman,1053/Kpts/Um/12/1981 26 Desember 1981,
BATANg Agam,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1981,Pelepasan Varietas Tanaman,1055/Kpts/Um/12/1981 26 Desember 1981,
Krueng Aceh,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1981,Pelepasan Varietas Tanaman,1054/Kpts/Um/12/1981 26 Desember 1981,
Cipunegara,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1981,Pelepasan Varietas Tanaman,1052/Kpts/Um/12/1981 26 Desember 1981,
PB-54,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1981,Pelepasan Varietas Tanaman,844/Kpts/Um/9/1981 29858,
PB-52,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1981,Pelepasan Varietas Tanaman,843/Kpts/Um/9/1981 29858,
PB-50,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1981,Pelepasan Varietas Tanaman,842/Kpts/Um/9/1981 29858,
Arjuna,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Introduksi,1980,Pelepasan Varietas Tanaman,791/Kpts/Um/10/1980 28 Oktober 1980,
Bromo,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Introduksi,1980,Pelepasan Varietas Tanaman,787/Kpts/Um/10/1980 28 Oktober 1980,
Nakula,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Lokal,1983,Pelepasan Varietas Tanaman,TP.240/521/Kpts/Um/7/1983 21 Juli 1983,
Sadewa,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Lokal,1983,Pelepasan Varietas Tanaman,TP.240/520/Kpts/Um/7/1983 21 Juli 1983,
Betet,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1983,Pelepasan Varietas Tanaman,,
Adira II,Tanaman Pangan,Ubi Kayu,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1978,Pelepasan Varietas Tanaman, ,
PB-32,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1977,Pelepasan Varietas Tanaman,477/Kpts/Um/8/1977 22 Agustus 1976,
Arto Ijo,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1954,Pelepasan Varietas Tanaman,,
Gati,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1976,Pelepasan Varietas Tanaman,657/Kpts/Um/10/1976 19 Oktober 1976,
Gemar,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1976,Pelepasan Varietas Tanaman,654/Kpts/Um/10/1976 19 Oktober 1976,
Gata,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1976,Pelepasan Varietas Tanaman,656/Kpts/Um/10/1976 19 Oktober 1976,
Daya,Tanaman Pangan,Ubi Jalar,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1978,Pelepasan Varietas Tanaman, ,
No. 129,Tanaman Pangan,Kacang Hijau,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1978,Pelepasan Varietas Tanaman,,
Jelita,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1955,Pelepasan Varietas Tanaman, ,
Dara,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1960,Pelepasan Varietas Tanaman, ,
Gnjh Lampung,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1960,Pelepasan Varietas Tanaman, ,
Seratus Mlm,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1961,Pelepasan Varietas Tanaman, ,
Sintha,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1963,Pelepasan Varietas Tanaman, ,
Kartuna,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1963,Pelepasan Varietas Tanaman, ,
Pelanduk,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1963,Pelepasan Varietas Tanaman,,
Rusa,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Dalam Negeri,1963,Pelepasan Varietas Tanaman,,
Anoa,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1963,Pelepasan Varietas Tanaman,,
Tupai,Tanaman Pangan,Kacang Tanah,Balai Penelitian Tanaman Aneka Kacang dan Umbi,Balai Penelitian Tanaman Aneka Kacang dan Umbi,,1963,Pelepasan Varietas Tanaman,,
Dewi Tara,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1964,Pelepasan Varietas Tanaman, ,
Harapan,Tanaman Pangan,Jagung,Balai Penelitian Jagung dan Serealia Lain,Balai Penelitian Jagung dan Serealia Lain,Introduksi,1964,Pelepasan Varietas Tanaman, ,
Arimbi,Tanaman Pangan,Padi Inbrida,Balai Penelitian Tanaman Padi,Balai Penelitian Tanaman Padi,,1965,Pelepasan Varietas Tanaman, ,
